,,,Target,Units
,,,A16-59,
Channel,Year,Month in Year,Share,
13 Ulica,2025,1,0.001743,
13 Ulica,2025,2,0.001778,
13 Ulica,2025,3,0.002346,
13 Ulica,2025,4,0.001942,
13 Ulica,2025,5,0.001986,
13 Ulica,2025,6,0.001908,
13 Ulica,2025,7,0.001363,
13 Ulica,2025,8,0.001338,
13 Ulica,2025,9,0.001640,
13 Ulica,2025,10,0.001508,
13 Ulica,2025,11,0.001722,
13 Ulica,2025,12,0.001528,
13 Ulica,2026,1,0.001607,
13 Ulica,2026,2,0.001948,
13 Ulica,2026,3,0.001865,
13 Ulica,2026,4,0.001539,
13 Ulica,2026,5,0.001600,
13 Ulica,2026,6,0.001159,
13 Ulica,2026,7,0.000602,
4FUN DANCE,2025,1,0.000382,
4FUN DANCE,2025,2,0.000377,
4FUN DANCE,2025,3,0.000485,
4FUN DANCE,2025,4,0.000373,
4FUN DANCE,2025,5,0.000367,
4FUN DANCE,2025,6,0.000549,
4FUN DANCE,2025,7,0.000561,
4FUN DANCE,2025,8,0.000458,
4FUN DANCE,2025,9,0.000419,
4FUN DANCE,2025,10,0.000415,
4FUN DANCE,2025,11,0.000420,
4FUN DANCE,2025,12,0.000379,
4FUN DANCE,2026,1,0.000370,
4FUN DANCE,2026,2,0.000423,
4FUN DANCE,2026,3,0.000433,
4FUN DANCE,2026,4,0.000483,
4FUN DANCE,2026,5,0.000441,
4FUN DANCE,2026,6,0.000738,
4FUN DANCE,2026,7,0.000260,
4FUN KIDS,2025,1,0.000699,
4FUN KIDS,2025,2,0.000908,
4FUN KIDS,2025,3,0.001344,
4FUN KIDS,2025,4,0.000904,
4FUN KIDS,2025,5,0.000639,
4FUN KIDS,2025,6,0.000687,
4FUN KIDS,2025,7,0.001024,
4FUN KIDS,2025,8,0.000471,
4FUN KIDS,2025,9,0.000388,
4FUN KIDS,2025,10,0.000570,
4FUN KIDS,2025,11,0.000585,
4FUN KIDS,2025,12,0.000418,
4FUN KIDS,2026,1,0.000210,
4FUN KIDS,2026,2,0.000227,
4FUN KIDS,2026,3,0.000247,
