AdvantEdge -  TechEdge © 2026 - Polsat Media
Analysis:,Time
Time:,"07 August 2026, 13:52:28"
Period:,2025-01-01 - 2026-08-05,[25-27]
Targets:,"Poland OOH	Nat[Live +2 OOH]	A16-59	58,310%	-	19481540	4563"
------------------------------------

,,,Target,Universe,Units
,,,A16-59,,
,,,Nat[Live +2 OOH],,
Channel,Year,Month in Year,Share,,
AXN,2026,5,"0,322",,
AXN,2026,6,"0,280",,
AXN,2026,7,"0,238",,
AXN,2026,8,"0,222",,
AXN Black,2025,1,"0,136",,
AXN Black,2025,2,"0,168",,
AXN Black,2025,3,"0,175",,
AXN Black,2025,4,"0,185",,
AXN Black,2025,5,"0,216",,
AXN Black,2025,6,"0,209",,
AXN Black,2025,7,"0,197",,
AXN Black,2025,8,"0,188",,
AXN Black,2025,9,"0,129",,
AXN Black,2025,10,"0,163",,
AXN Black,2025,11,"0,150",,
AXN Black,2025,12,"0,132",,
AXN Black,2026,1,"0,183",,
AXN Black,2026,2,"0,203",,
AXN Black,2026,3,"0,182",,
AXN Black,2026,4,"0,120",,
AXN Black,2026,5,"0,157",,
AXN Black,2026,6,"0,162",,
AXN Black,2026,7,"0,216",,
AXN Black,2026,8,"0,235",,
AXN Spin,2025,1,"0,011",,
AXN Spin,2025,2,"0,015",,
AXN Spin,2025,3,"0,009",,
AXN Spin,2025,4,"0,020",,
AXN Spin,2025,5,"0,010",,
AXN Spin,2025,6,"0,018",,
AXN Spin,2025,7,"0,020",,
AXN Spin,2025,8,"0,014",,
AXN Spin,2025,9,"0,009",,
AXN Spin,2025,10,"0,017",,
AXN Spin,2025,11,"0,016",,
AXN Spin,2025,12,"0,018",,
AXN Spin,2026,1,"0,015",,
AXN Spin,2026,2,"0,012",,
AXN Spin,2026,3,"0,021",,
AXN Spin,2026,4,"0,016",,
AXN Spin,2026,5,"0,018",,
AXN Spin,2026,6,"0,014",,
AXN Spin,2026,7,"0,015",,
AXN Spin,2026,8,"0,008",,
AXN White,2025,1,"0,087",,
AXN White,2025,2,"0,054",,
AXN White,2025,3,"0,054",,
AXN White,2025,4,"0,058",,
AXN White,2025,5,"0,053",,
AXN White,2025,6,"0,054",,
AXN White,2025,7,"0,059",,
AXN White,2025,8,"0,057",,
AXN White,2025,9,"0,042",,
AXN White,2025,10,"0,034",,
AXN White,2025,11,"0,121",,
AXN White,2025,12,"0,129",,
AXN White,2026,1,"0,073",,
AXN White,2026,2,"0,037",,
AXN White,2026,3,"0,060",,
AXN White,2026,4,"0,059",,
AXN White,2026,5,"0,087",,
AXN White,2026,6,"0,095",,
AXN White,2026,7,"0,077",,
AXN White,2026,8,"0,072",,
BBC Brit,2025,1,"0,058",,
BBC Brit,2025,2,"0,077",,
BBC Brit,2025,3,"0,076",,
BBC Brit,2025,4,"0,062",,
BBC Brit,2025,5,"0,073",,
BBC Brit,2025,6,"0,063",,
BBC Brit,2025,7,"0,062",,
BBC Brit,2025,8,"0,053",,
BBC Brit,2025,9,"0,056",,
BBC Brit,2025,10,"0,061",,
BBC Brit,2025,11,"0,055",,
BBC Brit,2025,12,"0,073",,
BBC Brit,2026,1,"0,056",,
BBC Brit,2026,2,"0,061",,
BBC Brit,2026,3,"0,069",,
BBC Brit,2026,4,"0,085",,
BBC Brit,2026,5,"0,055",,
BBC Brit,2026,6,"0,075",,
BBC Brit,2026,7,"0,065",,
BBC Brit,2026,8,"0,045",,
BBC CBeebies,2025,1,"0,122",,
BBC CBeebies,2025,2,"0,091",,
BBC CBeebies,2025,3,"0,114",,
BBC CBeebies,2025,4,"0,081",,
BBC CBeebies,2025,5,"0,101",,
BBC CBeebies,2025,6,"0,152",,
BBC CBeebies,2025,7,"0,139",,
BBC CBeebies,2025,8,"0,138",,
BBC CBeebies,2025,9,"0,119",,
BBC CBeebies,2025,10,"0,090",,
BBC CBeebies,2025,11,"0,137",,
BBC CBeebies,2025,12,"0,118",,
BBC CBeebies,2026,1,"0,176",,
BBC CBeebies,2026,2,"0,178",,
BBC CBeebies,2026,3,"0,134",,
BBC CBeebies,2026,4,"0,074",,
BBC CBeebies,2026,5,"0,115",,
BBC CBeebies,2026,6,"0,106",,
BBC CBeebies,2026,7,"0,138",,
BBC CBeebies,2026,8,"0,117",,
BBC Earth,2025,1,"0,189",,
BBC Earth,2025,2,"0,261",,
BBC Earth,2025,3,"0,168",,
BBC Earth,2025,4,"0,176",,
BBC Earth,2025,5,"0,181",,
BBC Earth,2025,6,"0,139",,
BBC Earth,2025,7,"0,179",,
